Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,53.930000,54.990002,53.070000,53.810001,50.391235,102314700
2021-10-11,53.810001,54.490002,51.869999,54.459999,50.999939,117534900
2021-10-18,54.189999,56.070000,49.139999,49.459999,46.317604,206013600
2021-10-25,49.830002,50.070000,47.869999,49.000000,45.886826,226283900
2021-11-01,49.400002,51.580002,49.000000,50.919998,47.684845,140791300
2021-11-08,51.459999,51.990002,50.180000,50.310001,47.441242,128501700
2021-11-15,50.410000,51.150002,48.970001,49.520000,46.696285,137436300
2021-11-22,49.549999,50.849998,48.119999,48.779999,45.998486,129407700
2021-11-29,49.299999,50.400002,48.330002,49.250000,46.441685,185498900
2021-12-06,49.480000,55.000000,49.180000,50.590000,47.705276,224688700
2021-12-13,50.849998,51.400002,49.320000,50.619999,47.733559,185672200
2021-12-20,49.910000,51.730000,48.959999,51.310001,48.384224,110602700
2021-12-27,51.349998,52.160000,51.299999,51.500000,48.563385,89129000
2022-01-03,51.650002,56.169998,51.599998,53.439999,50.392761,205123400
2022-01-10,53.970001,56.279999,53.310001,55.700001,52.523891,177949700
2022-01-17,55.310001,55.650002,51.939999,52.040001,49.072586,140863900
2022-01-24,51.480000,52.720001,46.299999,47.730000,45.008354,314777400
2022-01-31,47.680000,49.689999,47.130001,48.009998,45.272388,199754500
2022-02-07,48.130001,49.970001,47.500000,47.630001,45.256203,160797900
2022-02-14,47.919998,48.490002,44.509998,45.040001,42.795280,198868400
2022-02-21,44.689999,47.790001,43.630001,47.709999,45.332211,207276400
2022-02-28,47.000000,48.990002,46.220001,48.070000,45.674267,217436200
2022-03-07,48.009998,48.720001,45.770000,45.830002,43.545910,188242200
2022-03-14,45.900002,47.599998,44.070000,47.450001,45.085171,184120400
2022-03-21,47.459999,51.980000,47.070000,51.830002,49.246876,182878300
2022-03-28,51.360001,52.509998,47.330002,48.110001,45.712276,165156300
2022-04-04,48.169998,49.230000,46.770000,47.020000,44.676601,127367100
2022-04-11,46.900002,47.910000,45.619999,45.669998,43.393879,118567000
2022-04-18,45.529999,48.900002,45.520000,46.540001,44.220520,135400100
2022-04-25,46.209999,47.270000,43.500000,43.590000,41.417545,211539700
2022-05-02,43.720001,46.639999,43.509998,44.299999,42.092155,224143800
2022-05-09,43.810001,44.740002,42.009998,43.599998,41.754513,202411200
2022-05-16,43.419998,44.419998,40.310001,41.650002,39.887054,162870200
2022-05-23,41.689999,44.549999,41.099998,44.549999,42.664303,142700100
2022-05-30,44.250000,44.930000,43.340000,43.389999,41.553402,132899300
2022-06-06,43.810001,44.040001,39.180000,39.180000,37.521599,192369100
2022-06-13,38.549999,39.169998,36.599998,36.970001,35.405151,236309600
2022-06-20,37.360001,38.639999,36.910000,38.610001,36.975731,134898800
2022-06-27,38.869999,39.060001,35.880001,36.340000,34.801815,168584000
2022-07-04,35.930000,38.330002,35.540001,37.990002,36.381981,115205000
2022-07-11,37.660000,38.669998,36.290001,38.619999,36.985306,153092800
2022-07-18,39.099998,40.730000,38.529999,39.200001,37.540756,191308800
2022-07-25,39.279999,40.419998,35.240002,36.310001,34.773090,292715200
2022-08-01,36.049999,37.689999,35.180000,35.389999,33.892029,260208100
2022-08-08,35.360001,36.290001,34.400002,36.110001,34.930660,205225100
2022-08-15,36.099998,36.580002,35.189999,35.380001,34.224506,135600600
2022-08-22,35.000000,35.060001,33.349998,33.360001,32.270481,181449500
2022-08-29,33.230000,33.410000,31.059999,31.219999,30.200371,188567800
2022-09-05,31.389999,31.500000,29.910000,31.459999,30.432531,155748100
2022-09-12,31.740000,31.860001,28.420000,29.240000,28.285036,263157700
2022-09-19,29.020000,29.590000,27.190001,27.520000,26.621210,183842000
2022-09-26,27.559999,27.700001,25.740000,25.770000,24.928364,214993500
2022-10-03,26.330000,27.840000,25.650000,25.719999,24.879995,207844300
2022-10-10,25.940001,26.840000,24.590000,25.910000,25.063791,241810700
2022-10-17,26.309999,27.049999,25.540001,26.969999,26.089172,210732100
2022-10-24,26.750000,29.219999,26.129999,29.070000,28.120586,261148800
2022-10-31,29.080000,29.180000,27.170000,28.200001,27.279001,238612600
2022-11-07,28.360001,30.629999,27.520000,30.430000,29.833736,213963000
2022-11-14,30.340000,31.340000,29.000000,29.870001,29.284708,175016800
2022-11-21,29.660000,30.080000,28.910000,29.340000,28.765095,96129700
2022-11-28,29.100000,30.480000,28.219999,29.410000,28.833723,195144200
2022-12-05,29.420000,29.750000,28.070000,28.240000,27.686647,144108900
2022-12-12,28.129999,30.090000,26.450001,26.920000,26.392513,257592700
2022-12-19,26.900000,26.969999,25.350000,26.090000,25.578775,168705900
2022-12-26,25.850000,26.459999,25.500000,26.430000,25.912113,117699900
2023-01-02,27.049999,28.830000,26.370001,28.730000,28.167046,134314400
2023-01-09,28.840000,30.379999,28.840000,30.110001,29.520006,151202500
2023-01-16,30.180000,30.260000,28.240000,29.219999,28.647446,151003800
2023-01-23,29.330000,30.490000,26.780001,28.160000,27.608217,296555200
2023-01-30,27.719999,31.170000,27.530001,30.320000,29.725891,290931800
2023-02-06,29.549999,29.650000,27.340000,27.799999,27.255270,211125200
2023-02-13,27.870001,28.879999,27.379999,27.610001,27.398827,144694500
2023-02-20,27.110001,27.270000,24.920000,25.139999,24.947718,253426800
2023-02-27,25.549999,26.480000,24.730000,26.400000,26.198080,220789900
2023-03-06,26.469999,27.520000,25.450001,27.219999,27.011808,237189400
2023-03-13,26.740000,31.000000,26.610001,29.809999,29.581999,304397600
2023-03-20,29.799999,29.900000,27.980000,29.360001,29.135443,231544000
2023-03-27,29.370001,32.900002,28.629999,32.669998,32.420120,287564900
2023-04-03,32.939999,33.840000,32.340000,32.810001,32.559055,180920000
2023-04-10,32.599998,33.110001,31.650000,31.889999,31.646091,149010200
2023-04-17,31.950001,32.639999,30.230000,30.299999,30.068251,140300000
2023-04-24,30.129999,32.570000,28.510000,31.059999,30.822439,258657100
2023-05-01,31.110001,31.719999,29.750000,30.990000,30.752974,197051200
2023-05-08,30.700001,30.840000,28.719999,28.950001,28.846222,173407500
2023-05-15,28.900000,30.240000,28.680000,29.930000,29.822708,170394700
2023-05-22,29.850000,30.450001,26.860001,29.000000,28.896042,236060100
2023-05-29,29.700001,32.290001,29.000000,31.309999,31.197762,280282200
2023-06-05,31.309999,31.990000,29.700001,31.340000,31.227654,205054400
2023-06-12,31.400000,36.799999,31.360001,36.369999,36.239620,364140700
2023-06-19,36.770000,37.110001,32.029999,33.000000,32.881702,228883200
2023-06-26,33.189999,34.230000,32.490002,33.439999,33.320126,178009600
2023-07-03,33.540001,33.889999,31.379999,31.850000,31.735826,123457000
2023-07-10,31.870001,34.299999,31.770000,33.150002,33.031166,165388700
2023-07-17,33.160000,34.840000,33.070000,34.020000,33.898048,207879500
2023-07-24,33.840000,36.990002,33.400002,36.830002,36.697975,239393900
2023-07-31,36.869999,37.189999,34.130001,35.139999,35.014030,170867100
2023-08-07,35.410000,35.549999,33.860001,34.889999,34.889999,145670000
2023-08-14,34.669998,35.709999,32.180000,32.750000,32.750000,163672700
2023-08-21,32.599998,34.150002,32.020000,33.250000,33.250000,164732500
2023-08-28,33.500000,36.750000,33.209999,36.610001,36.610001,170504800
2023-09-04,36.580002,38.830002,36.029999,38.009998,38.009998,194937700
2023-09-11,38.240002,40.070000,37.619999,37.880001,37.880001,226569000
2023-09-18,37.619999,38.389999,34.139999,34.180000,34.180000,214719700
2023-09-25,34.000000,35.910000,33.639999,35.549999,35.549999,161320600
2023-10-02,35.610001,35.980000,34.980000,35.459999,35.459999,26076800
