Date,Open,High,Low,Close,Adj Close,Volume
2022-07-18,153.309998,163.339996,147.199997,158.160004,158.160004,52439100
2022-07-25,156.940002,162.740005,152.800003,159.309998,159.309998,42647000
2022-08-01,165.949997,171.759995,162.330002,165.039993,165.039993,45653700
2022-08-08,166.410004,171.759995,163.449997,169.990005,169.990005,33881700
2022-08-15,169.289993,173.850006,162.580002,162.919998,162.919998,26668500
2022-08-22,159.399994,171.369995,157.910004,164.529999,164.529999,22855600
2022-08-29,162.279999,169.919998,150.820007,151.820007,151.820007,28014500
2022-09-05,152.389999,159.750000,150.460007,157.520004,157.520004,21234000
2022-09-12,158.460007,160.970001,141.350006,144.289993,144.289993,42669500
2022-09-19,142.619995,149.869995,129.500000,131.259995,131.259995,33372300
2022-09-26,129.770004,133.889999,120.989998,121.080002,121.080002,41323000
2022-10-03,122.000000,133.570007,121.019997,129.789993,129.789993,31018500
2022-10-10,131.419998,136.410004,124.169998,133.149994,133.149994,35667500
2022-10-17,136.979996,141.880005,133.259995,141.320007,141.320007,31324700
2022-10-24,142.850006,150.139999,132.210007,143.839996,143.839996,62795900
2022-10-31,141.880005,160.979996,139.520004,160.009995,160.009995,57815700
2022-11-07,161.399994,179.320007,160.630005,177.490005,177.490005,51657900
2022-11-14,176.500000,178.190002,168.520004,173.889999,173.889999,26816600
2022-11-21,172.529999,178.460007,171.000000,178.360001,178.360001,14872800
2022-11-28,176.169998,183.449997,171.699997,182.869995,182.869995,32293300
2022-12-05,182.000000,188.449997,174.619995,179.539993,179.539993,37631100
2022-12-12,180.800003,191.110001,180.500000,184.699997,184.699997,38138600
2022-12-19,184.919998,196.399994,184.710007,189.059998,189.059998,32846000
2022-12-26,189.580002,192.440002,186.190002,190.490005,190.490005,17967400
2023-01-02,192.949997,213.039993,192.399994,213.000000,213.000000,36541200
2023-01-09,212.360001,216.639999,203.460007,214.130005,214.130005,38800800
2023-01-16,212.710007,213.419998,204.779999,206.759995,206.759995,22842700
2023-01-23,208.360001,214.750000,203.110001,211.169998,211.169998,38868100
2023-01-30,209.190002,218.970001,205.619995,206.009995,206.009995,31605600
2023-02-06,205.190002,215.770004,203.690002,212.889999,212.889999,25325800
2023-02-13,213.600006,221.330002,207.619995,211.660004,211.660004,29446900
2023-02-20,208.990005,210.839996,197.360001,198.149994,198.149994,21381900
2023-02-27,199.869995,216.119995,199.059998,215.110001,215.110001,25259400
2023-03-06,214.119995,214.750000,197.789993,203.070007,203.070007,26862100
2023-03-13,200.199997,213.559998,192.410004,201.050003,201.050003,42417300
2023-03-20,201.119995,207.860001,193.919998,197.529999,197.529999,27527400
2023-03-27,198.630005,214.800003,198.630005,212.429993,212.429993,24655400
2023-04-03,212.800003,218.570007,208.220001,211.369995,211.369995,22034700
2023-04-10,211.000000,214.500000,198.149994,201.710007,201.710007,37175200
2023-04-17,202.000000,210.869995,200.800003,205.149994,205.149994,25265200
2023-04-24,204.869995,211.699997,201.119995,206.779999,206.779999,25710100
2023-05-01,206.250000,208.520004,193.270004,198.339996,198.339996,23089700
2023-05-08,199.160004,204.610001,196.399994,200.699997,200.699997,24420600
2023-05-15,200.009995,208.580002,198.649994,205.490005,205.490005,20737900
2023-05-22,205.509995,207.490005,196.600006,203.630005,203.630005,19206500
2023-05-29,204.089996,215.240005,200.910004,213.320007,213.320007,22047200
2023-06-05,213.279999,220.000000,200.610001,217.309998,217.309998,37073500
2023-06-12,217.160004,223.910004,215.309998,219.990005,219.990005,32376400
2023-06-19,218.889999,219.289993,202.550003,205.410004,205.410004,26974600
2023-06-26,206.110001,213.240005,204.660004,211.160004,211.160004,21114200
2023-07-03,210.500000,215.660004,207.889999,212.100006,212.100006,16629900
2023-07-10,211.839996,221.559998,211.220001,213.119995,213.119995,24658300
2023-07-17,212.500000,215.600006,208.240005,211.800003,211.800003,24166800
2023-07-24,212.059998,240.130005,210.809998,238.690002,238.690002,55408300
2023-07-31,238.990005,243.100006,230.080002,231.360001,231.360001,21977600
2023-08-07,232.740005,241.580002,232.740005,235.720001,235.720001,21623400
2023-08-14,237.000000,238.649994,221.679993,226.649994,226.649994,15901000
2023-08-21,226.800003,230.539993,212.880005,223.410004,223.410004,30236900
2023-08-28,224.210007,231.169998,221.949997,223.399994,223.399994,22296200
2023-09-04,223.100006,224.089996,210.509995,211.270004,211.270004,18161600
2023-09-11,213.759995,214.199997,206.880005,208.110001,208.110001,19960200
2023-09-18,207.910004,207.910004,197.139999,197.710007,197.710007,21274500
2023-09-25,196.839996,199.389999,190.029999,191.679993,191.679993,24373800
2023-10-02,191.470001,192.440002,186.929993,187.830002,187.830002,5235200
