Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,7.340000,7.460000,6.870000,7.440000,7.440000,20042200
2022-08-01,7.370000,8.555000,6.620000,6.760000,6.760000,49412100
2022-08-08,6.870000,7.369000,6.520000,7.120000,7.120000,43631600
2022-08-15,7.030000,7.329000,6.290000,6.320000,6.320000,33351700
2022-08-22,6.130000,6.385000,5.890000,5.980000,5.980000,30278300
2022-08-29,5.900000,6.180000,5.575000,5.720000,5.720000,29992800
2022-09-05,5.780000,6.370000,5.695000,6.000000,6.000000,35035800
2022-09-12,5.990000,6.100000,5.292000,5.310000,5.310000,45604600
2022-09-19,5.240000,5.330000,4.760000,4.870000,4.870000,28631100
2022-09-26,4.830000,5.175000,4.710000,4.710000,4.710000,27001400
2022-10-03,4.770000,5.255000,4.680000,4.850000,4.850000,22993100
2022-10-10,4.880000,4.960000,4.460000,4.590000,4.590000,22395200
2022-10-17,4.750000,4.975000,4.110000,4.450000,4.450000,24466100
2022-10-24,4.450000,4.725000,4.290000,4.660000,4.660000,21023900
2022-10-31,4.640000,5.008000,4.410000,4.920000,4.920000,27011600
2022-11-07,4.820000,5.575000,4.710000,5.500000,5.500000,36385100
2022-11-14,5.430000,5.668000,5.100000,5.300000,5.300000,22274700
2022-11-21,5.250000,5.250000,4.955000,5.100000,5.100000,10807000
2022-11-28,5.000000,5.330000,4.720000,5.140000,5.140000,22688800
2022-12-05,5.100000,5.380000,4.470000,4.650000,4.650000,27089900
2022-12-12,4.650000,5.070000,4.020000,4.110000,4.110000,40622600
2022-12-19,4.140000,4.150000,3.495000,3.650000,3.650000,29529900
2022-12-26,3.620000,3.620000,3.245000,3.480000,3.480000,26976900
2023-01-02,3.620000,3.840000,3.430000,3.690000,3.690000,21880500
2023-01-09,3.750000,5.590000,3.750000,5.190000,5.190000,88348800
2023-01-16,5.200000,5.720000,4.710000,5.190000,5.190000,59665800
2023-01-23,5.180000,5.875000,5.090000,5.710000,5.710000,42461000
2023-01-30,5.580000,6.540000,5.360000,6.080000,6.080000,55261000
2023-02-06,6.250000,6.610000,4.925000,4.980000,4.980000,51135300
2023-02-13,5.000000,6.420000,4.920000,6.370000,6.370000,56512500
2023-02-20,6.090000,6.180000,5.460000,5.480000,5.480000,32004200
2023-02-27,5.530000,5.800000,4.650000,5.500000,5.500000,60055700
2023-03-06,5.580000,5.800000,4.810000,4.980000,4.980000,35218800
2023-03-13,4.850000,5.250000,4.120000,4.160000,4.160000,45168100
2023-03-20,4.120000,4.270000,3.890000,4.100000,4.100000,36795700
2023-03-27,4.110000,4.250000,3.815000,4.050000,4.050000,34440500
2023-04-03,4.030000,4.090000,2.980000,3.150000,3.150000,55598000
2023-04-10,3.100000,3.680000,3.090000,3.330000,3.330000,45428100
2023-04-17,3.380000,3.760000,3.330000,3.510000,3.510000,34031600
2023-04-24,3.510000,3.640000,3.080000,3.640000,3.640000,37175000
2023-05-01,3.590000,3.730000,3.325000,3.610000,3.610000,24921000
2023-05-08,3.970000,4.490000,3.660000,4.010000,4.010000,67337300
2023-05-15,3.990000,4.610000,3.830000,4.360000,4.360000,49527200
2023-05-22,4.400000,5.250000,3.310000,3.380000,3.380000,102036900
2023-05-29,3.490000,3.900000,3.300000,3.820000,3.820000,41950800
2023-06-05,3.820000,4.320000,3.710000,4.030000,4.030000,43526600
